Guide	Gene	aav3	aav4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	17	18	19	20
Tbce_+_14039547.23-P1P2	Tbce	2084	2198	966	235	753	713	589	1109	994	718	1178	777	1088	540	1553	1269	889	1164	1491	1849	1364
Ubqln3_-_104143008.23-P1P2	Ubqln3	3836	4343	2083	858	1266	1240	1167	1946	1747	1415	2030	1646	1890	799	2552	1755	1719	1545	2359	1986	2274
Dip2a_-_76345188.23-P1P2	Dip2a	2781	2761	1627	715	1069	1556	865	1357	1371	1248	1625	1115	1501	599	1898	1009	1099	1100	2258	1593	1645
Trim34b_+_104329561.23-ENSMUST00000180136.1,ENSMUST00000178316.1	Trim34b	2675	3038	1486	664	1024	582	769	1410	1039	1096	1528	1239	1340	575	2575	1811	1221	1197	1480	1895	1431
Cryab_+_50753410.23-P1P2	Cryab	3939	4154	2276	953	1512	1954	1359	2103	2191	1600	2331	1751	2417	877	2857	2828	1865	1702	3545	2563	2291
Cybrd1_-_71118151.23-P1P2	Cybrd1	1375	1566	738	373	629	181	579	805	773	522	917	670	883	180	1457	1008	538	526	1226	920	1204
Man2c1_+_57130852.23-P1P2	Man2c1	2782	2925	1372	780	976	808	664	1293	1141	1218	1452	1115	1375	619	1887	1473	1065	1176	1700	1476	1514
Dnmbp_+_43912300.23-ENSMUST00000026209.4	Dnmbp	2910	3252	1367	523	1604	1542	819	1367	1137	1233	1490	1092	1720	612	2242	1280	1147	820	2005	1491	1909
Lrrc48_-_60353414.23-P1P2	Lrrc48	3345	3434	1379	467	2041	757	888	1659	1419	1338	1672	1298	1768	860	2139	1422	1109	1287	2167	2249	1813
Dhdds_-_134000836.23-P1P2	Dhdds	5042	5325	1844	691	1035	1898	1089	2062	1561	1827	2167	1584	1788	838	2946	1682	1691	1265	2426	2659	2419
Xbp1_-_5521033.23-P1P2	Xbp1	2255	2396	1330	515	1071	783	671	1172	1086	1271	1295	1113	1426	657	1833	1419	1196	922	1611	1399	1952
Ube2j2_+_155943942.23-P1P2	Ube2j2	3764	4052	1585	622	1649	1362	1257	2003	1648	1429	1844	1231	1844	762	2656	1811	1327	1255	2560	2198	1952
Tbl3_+_24707601.23-P1P2	Tbl3	1410	1671	767	534	640	313	443	895	659	774	925	615	824	379	1401	1020	661	798	1193	925	768
Pgap3_-_98400184.23-P1P2	Pgap3	4302	4599	2248	1064	1437	1487	1327	2111	2095	1877	2394	1483	2296	1076	3160	2325	1720	1425	2617	2656	2860
Zdhhc8_-_18235145.23-P1P2	Zdhhc8	571	572	193	77	117	212	144	263	355	306	299	283	268	47	298	358	249	190	535	293	358
Bbs12_-_37312590.23-P1P2	Bbs12	2815	2968	1939	596	1098	1098	1000	1486	1786	1397	1941	1537	1614	846	2603	1628	1197	1269	2067	1952	1697
Spop_-_95414118.23-P1P2	Spop	5538	5677	2566	1281	2223	3368	1508	2615	2058	2723	2855	2301	2918	1559	3487	2393	2537	2358	4094	3463	3058
Ube2t_-_134962618.23-P1P2	Ube2t	1641	1737	799	369	327	690	829	1080	896	742	1031	755	989	388	1609	1027	652	809	1410	1542	761
Ect2l_-_18210776.23-P1P2	Ect2l	1729	1718	1108	556	361	786	475	948	1029	699	1057	634	1154	463	1236	747	803	637	980	1200	1191
Stt3b_-_115310119.23-P1P2	Stt3b	334	268	263	159	135	227	104	121	272	92	201	129	181	132	161	535	116	92	263	226	192
Vps35_+_85299443.23-P1P2	Vps35	3166	3168	1184	570	1104	1164	780	1725	1459	1288	1671	1287	1671	768	2003	1734	933	1365	1811	1842	1872
Psmd10_+_140956682.23-P1P2	Psmd10	691	634	381	149	494	304	312	605	299	272	329	174	323	93	522	365	177	283	705	479	541
March5_-_37207599.23-P1P2	March5	4142	4327	2145	934	1208	1986	1513	2461	2242	1873	2635	1915	2383	984	3200	2781	1884	1714	4157	2765	2881
Atp5g1_+_96075602.23-P1P2	Atp5g1	3404	3258	1379	627	1340	2133	899	1718	1576	1567	2012	1410	1608	720	1922	2150	1423	1427	2001	2007	1557
Atp5o_-_91931494.23-P1P2	Atp5o	2759	2800	1679	792	1098	1416	1062	1141	1658	1695	1797	1363	2093	677	2221	1708	1380	1343	2440	2242	1997
Nup210_-_91116773.23-P1P2	Nup210	3003	3144	1565	557	783	1573	875	1756	1718	1444	1770	1177	1642	704	1858	1957	1558	1294	2056	2041	1919
Mrps18b_-_35916323.23-P1P2	Mrps18b	4554	4606	2294	1398	1699	1653	1213	2203	2214	1778	2525	1741	2297	827	3027	2550	1711	1892	3121	2463	2648
Pofut2_-_77259372.23-P1P2	Pofut2	4114	4088	2467	923	1731	1886	1330	2152	2017	1789	2428	1845	2238	881	3370	2754	1803	1629	3417	2791	2341
Golgb1_+_36875397.23-P1P2	Golgb1	2629	2891	1355	742	1223	1419	830	1368	1317	1227	1671	1139	1862	711	2434	1505	1219	1294	1604	1918	1625
Hectd3_+_116995344.23-P1P2	Hectd3	2708	2715	1665	542	991	1350	910	1625	1311	1268	1484	1309	1587	630	1986	1505	1495	1523	2246	1567	2133
Ap2m1_-_20535748.23-P1P2	Ap2m1	987	1202	538	164	431	167	338	365	475	338	497	431	551	176	559	396	572	486	531	673	539
Sorbs1_-_40402110.23-ENSMUST00000099467.3,ENSMUST00000099466.3,ENSMUST00000165212.1,ENSMUST00000165469.1	Sorbs1	994	1114	594	194	786	140	276	533	463	553	589	446	504	244	859	678	306	494	734	788	564
Ndufaf2_-_108158555.23-P1P2	Ndufaf2	330	301	195	60	20	231	111	72	185	129	304	107	192	77	100	154	133	88	324	89	245
Ascc2_-_4637847.23-P1P2	Ascc2	4703	4858	2149	833	926	1366	1201	1752	1909	1788	2324	2066	2458	814	2826	2196	1452	1914	2816	3119	2338
