Guide	Gene	c1	c2	c3	t1	t2	t3	t4
non-targeting_01328	non-targeting	15925	4698	3717	14055	7478	2017	1420
Dnajc7_+_100619576.23-P1P2	Dnajc7	16991	4995	4043	14379	7659	2289	1661
Srp72_-_76974788.23-P1P2	Srp72	13878	4105	3290	12436	6660	1790	1130
non-targeting_00839	non-targeting	9393	3047	2381	8446	5345	1290	885
Hspbp1_+_4684892.23-P1P2	Hspbp1	5671	1931	1406	4608	2761	861	653
Ttc3_+_94370771.23-P1P2	Ttc3	9254	2331	1730	8161	4353	978	732
Psmd4_-_95042368.23-P1P2	Psmd4	6946	1918	1421	6593	3374	907	589
Dnajc10_-_80315783.23-P1P2	Dnajc10	2003	547	437	2038	703	272	223
non-targeting_00837	non-targeting	14488	3546	2613	12275	7700	1596	1237
Dnajc12_+_63386643.23-P1P2	Dnajc12	13963	4548	3413	11811	7485	1889	1392
Ttc9_-_81631315.23-P1P2	Ttc9	9032	2447	1816	7465	4818	1112	779
Ppia_-_6416064.23-P1P2	Ppia	7706	1996	1634	7027	3543	997	687
Ifit2_-_34550704.23-P1P2	Ifit2	4870	1376	1062	4162	2116	610	447
Ttc19_-_62281520.23-P1P2	Ttc19	12707	3568	2804	11104	6555	1520	1202
non-targeting_01364	non-targeting	11449	3575	2871	11059	6291	1552	1115
Tmtc3_-_100487269.23-P1P2	Tmtc3	8751	2475	1930	7028	4181	1210	810
Anapc7_+_122422488.23-P1P2	Anapc7	11755	3860	2876	9340	5802	1673	1063
Ppic_+_53418003.23-P1P2	Ppic	7837	2441	1892	6929	3825	1075	681
Ttc9c_+_8819239.23-P1P2	Ttc9c	5572	1686	1320	5413	3101	634	478
Pfdn1_+_36454481.23-P1P2	Pfdn1	7411	2139	1705	6456	3522	939	620
Bag2_-_33757643.23-P1P2	Bag2	19753	6474	4983	18093	10380	2677	2017
Gpsm1_-_26315572.23-P1P2	Gpsm1	14230	4350	3231	12799	8488	1981	1437
Ttc29_+_78213382.23-P1P2	Ttc29	9304	2997	2278	8400	4301	1289	940
Hsf1_+_76477430.23-P1P2	Hsf1	6327	2846	2196	6036	3346	1201	964
Cct2_-_117063718.23-P1P2	Cct2	7601	2481	1941	6155	3565	1006	646
Xbp1_-_5521003.23-P1P2	Xbp1	17798	4712	3377	15527	9728	2054	1425
Tmtc1_-_148444088.23-P1P2	Tmtc1	9155	2440	1761	8307	4179	986	690
Dnajc21_-_10470499.23-P1P2	Dnajc21	5516	1371	1035	5014	2871	640	502
Dnajb7_-_81408325.23-P1P2	Dnajb7	8691	2528	1900	7625	4298	980	648
Dnajc21_-_10470281.23-P1P2	Dnajc21	9149	2578	2181	7735	4869	1091	1015
Mcmbp_-_128740459.23-P1P2	Mcmbp	7749	2726	2153	7393	3965	1116	855
Afg3l2_-_67448959.23-P1P2	Afg3l2	7044	2114	1665	6199	3167	941	738
Cabin1_+_75764096.23-P1P2	Cabin1	17011	4843	3702	16178	8097	2111	1538
Vcp_+_43000049.23-P1P2	Vcp	14443	3600	2907	7488	3742	884	660
Hspb1_+_135887991.23-P1P2	Hspb1	17386	5144	3881	15728	8352	2113	1569
Hspa8_-_40802397.23-P2	Hspa8	14242	4342	3326	11628	7132	1827	1218
Plod3_+_136987666.23-P1P2	Plod3	11117	3643	2673	9056	5470	1419	1121
Wdtc1_+_133339264.23-P1P2	Wdtc1	9228	3326	2586	8707	4908	1414	1042
Ttc9b_+_27653995.23-P1P2	Ttc9b	11637	3192	2371	8495	4527	1195	867
Ttc17_-_94406611.23-P1	Ttc17	9681	2895	2176	8190	4387	1233	862
Cct5_+_31601729.23-P1P2	Cct5	13918	3702	2750	8839	5314	1061	804
Dnajc16_+_141790460.23-P1P2	Dnajc16	11872	3107	2313	10495	6308	1318	1021
Aip_-_4121568.23-P1P2	Aip	12900	4029	3392	12816	7730	1920	1322
P4ha1_+_59323364.23-P1P2	P4ha1	13615	3972	3051	11700	7150	1809	1234
Fkbp7_+_76673039.23-P1P2	Fkbp7	6358	2090	1538	7003	4128	1047	734
Lonrf1_+_36249522.23-P1P2	Lonrf1	10013	3152	2638	10347	6806	1544	1159
Ttc36_+_44802880.23-P1P2	Ttc36	9864	2984	2198	9061	5365	1364	971
Xab2_-_3621065.23-P1P2	Xab2	8265	2136	1582	5738	3309	727	476
Aip_-_4121518.23-P1P2	Aip	7445	2365	1738	6724	2969	872	682
Ppil2_-_17110957.23-P1P2	Ppil2	3013	969	837	2407	1637	339	300
Tcp1_+_12916535.23-P1P2	Tcp1	6277	2006	1614	5046	3337	706	511
non-targeting_00287	non-targeting	8013	2100	1661	7918	4471	1311	842
Pex5l_-_33082995.23-P1	Pex5l	10018	2827	2242	8992	5700	1155	859
Mzb1_-_35649274.23-P1P2	Mzb1	2832	859	636	2495	1370	382	173
non-targeting_01355	non-targeting	16599	5369	4039	14736	8660	2475	1759
Fkbp2_+_6980405.23-P1P2	Fkbp2	15848	3727	2826	13945	8219	1732	1214
Grpel2_+_61726295.23-P1P2	Grpel2	4158	1249	1019	4223	2190	579	423
Nudc_+_133545960.23-P1P2	Nudc	13325	3767	3078	8246	4773	1200	851
Ttc7b_-_100520640.23-P1P2	Ttc7b	7001	2358	1767	6352	4065	933	726
Asph_+_9669048.23-P1P2	Asph	15396	4580	3471	12961	7502	2021	1417
Asna1_+_85025261.23-P1P2	Asna1	13423	4022	3216	11885	6725	1830	1268
Dnaja2_-_85555280.23-P1P2	Dnaja2	12592	3753	2814	10765	6387	1664	1135
Hsfy2_-_56637198.23-P1P2	Hsfy2	13201	4297	3335	11630	7136	1759	1342
Fkbp5_+_28486023.23-P1	Fkbp5	15326	5052	3784	13909	7816	2295	1497
Dnajb4_-_152193355.23-P1	Dnajb4	10028	3290	2528	8570	4206	1453	888
Hspa12b_-_131127494.23-P1P2	Hspa12b	10535	2549	2036	9521	5586	1230	796
Qsox2_-_26237356.23-P1P2	Qsox2	16507	4687	3584	15329	9080	2337	1568
Ppie_+_123139900.23-P1P2	Ppie	16972	4309	3327	14059	6697	1867	1270
Txndc5_-_38528412.23-P1P2	Txndc5	14648	3637	2694	13722	7456	1727	1231
Phgdh_+_98339520.23-P1P2	Phgdh	11765	4041	3069	10070	5656	1718	1101
Dnajc6_-_101508204.23-P1P2	Dnajc6	11743	4031	3184	11159	6500	1958	1305
Edem2_-_155729140.23-P1P2	Edem2	11074	3299	2629	10908	5668	1591	1088
Ttc27_+_74717864.23-P1P2	Ttc27	11714	4407	3615	10862	5874	1563	1129
Leprel1_-_26105562.23-P1P2	Leprel1	17580	5867	4444	15315	9051	2189	1618
Phb2_-_124712369.23-P1P2	Phb2	6508	1954	1543	5528	2645	749	586
non-targeting_01592	non-targeting	7785	2189	1754	7039	3559	918	736
non-targeting_00861	non-targeting	5488	1873	1416	5841	3658	763	548
Rpap3_-_97705794.23-P1P2	Rpap3	12195	2787	2191	8071	4559	931	636
non-targeting_00570	non-targeting	8831	3014	2376	8059	5317	1234	969
non-targeting_00553	non-targeting	12652	3217	2446	10194	5739	1425	967
Dnajc18_+_35703094.23-P1P2	Dnajc18	14526	4874	3597	12954	6998	1950	1585
Clpx_-_65294337.23-P1P2	Clpx	6087	1770	1294	4922	3477	843	571
non-targeting_00561	non-targeting	7430	2247	1833	7096	4717	1020	698
Pin1_-_20652171.23-P1P2	Pin1	7958	2346	1741	7580	4526	1023	689
Cct2_+_117063739.23-P1P2	Cct2	16646	5479	4099	14040	7844	2342	1725
Dnajc1_-_18392567.23-P1P2	Dnajc1	14133	3687	2665	12232	6156	1507	1029
Clu_-_65968660.23-P1	Clu	8799	2947	2124	7650	4658	1292	790
Nasp_+_116627451.23-P1P2	Nasp	14486	4715	3660	12863	7193	2037	1317
Trap1_+_4077789.23-P1P2	Trap1	8412	2850	2163	7918	4367	1116	793
non-targeting_00027	non-targeting	18714	5126	3720	14681	8672	2033	1445
non-targeting_00294	non-targeting	9950	3450	2689	7859	4896	1516	1077
non-targeting_00298	non-targeting	9386	3366	2714	7864	4876	1414	903
Dnajc28_-_91618784.23-P1P2	Dnajc28	16053	5853	4211	14607	8364	2522	1784
Stip1_+_7039948.23-P1P2	Stip1	5999	2073	1678	5727	3205	889	695
Tmtc2_-_105574390.23-P1P2	Tmtc2	9413	3428	2532	8860	4433	1240	943
Fkbp5_+_28486035.23-P1	Fkbp5	21141	6283	4918	17556	9707	3026	2091
Bag3_+_128523822.23-P1P2	Bag3	2395	552	489	2046	1340	244	181
Srp72_+_76974779.23-P1P2	Srp72	12417	3806	3006	12049	6544	1741	1289
Klc3_+_19404059.23-P2	Klc3	4320	976	793	3917	2118	611	331
Ifit2_-_34550755.23-P1P2	Ifit2	8297	2424	1919	8209	4999	1242	974
Fkbp11_-_98728122.23-P1P2	Fkbp11	17170	5034	3823	15193	8835	2224	1541
Dnajc5b_-_19508658.23-P1P2	Dnajc5b	14716	4340	3350	13112	7321	1845	1289
